rcp,gcm,resolution,ggcm,name_tgz
ssp126,IPSL-CM6A-LR,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_f3b3c2bf_cellularmagpie_c200_IPSL-CM6A-LR-ssp126_lpjml-8e6c5eb1_isimip-0936c823.tgz
ssp585,GFDL-ESM4,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_d5209664_cellularmagpie_c200_GFDL-ESM4-ssp585_lpjml-8e6c5eb1_isimip-79e6915c.tgz
ssp585,MRI-ESM2-0,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_cec2d7b4_cellularmagpie_c200_MRI-ESM2-0-ssp585_lpjml-8e6c5eb1_isimip-ceec76da.tgz
ssp585,UKESM1-0-LL,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_9a47483e_cellularmagpie_c200_UKESM1-0-LL-ssp585_lpjml-8e6c5eb1_isimip-df6e369e.tgz
ssp585,MPI-ESM1-2-HR,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_65cd78a3_cellularmagpie_c200_MPI-ESM1-2-HR-ssp585_lpjml-8e6c5eb1_isimip-f2d526c0.tgz
ssp585,IPSL-CM6A-LR,c200,pDSSAT,rev4.65+Paper_170122_pDSSAT_8f7b9423_9d018a46_cellularmagpie_c200_IPSL-CM6A-LR-ssp585_lpjml-8e6c5eb1_isimip-321c607b.tgz
ssp126,GFDL-ESM4,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_729bcbcd_cellularmagpie_c200_GFDL-ESM4-ssp126_lpjml-8e6c5eb1_isimip-39142b75.tgz
ssp126,MRI-ESM2-0,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_d7a983f7_cellularmagpie_c200_MRI-ESM2-0-ssp126_lpjml-8e6c5eb1_isimip-4ea07d38.tgz
ssp126,UKESM1-0-LL,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_685d72eb_cellularmagpie_c200_UKESM1-0-LL-ssp126_lpjml-8e6c5eb1_isimip-36242791.tgz
ssp126,MPI-ESM1-2-HR,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_b8cb5914_cellularmagpie_c200_MPI-ESM1-2-HR-ssp126_lpjml-8e6c5eb1_isimip-5dff1349.tgz
ssp126,IPSL-CM6A-LR,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_0f8571b3_cellularmagpie_c200_IPSL-CM6A-LR-ssp126_lpjml-8e6c5eb1_isimip-c9cf9bb5.tgz
ssp585,GFDL-ESM4,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_eaeb60c8_cellularmagpie_c200_GFDL-ESM4-ssp585_lpjml-8e6c5eb1_isimip-004d59f3.tgz
ssp585,MRI-ESM2-0,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_41cd9c5e_cellularmagpie_c200_MRI-ESM2-0-ssp585_lpjml-8e6c5eb1_isimip-34b70cf0.tgz
ssp585,UKESM1-0-LL,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_30904a0a_cellularmagpie_c200_UKESM1-0-LL-ssp585_lpjml-8e6c5eb1_isimip-92160ea4.tgz
ssp585,MPI-ESM1-2-HR,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_128d9839_cellularmagpie_c200_MPI-ESM1-2-HR-ssp585_lpjml-8e6c5eb1_isimip-06204055.tgz
ssp585,IPSL-CM6A-LR,c200,CYGMA1p74,rev4.65+Paper_170122_CYGMA1p74_8f7b9423_70180eef_cellularmagpie_c200_IPSL-CM6A-LR-ssp585_lpjml-8e6c5eb1_isimip-672af77f.tgz
